date_,user_reference,decision_type
2023-07-25T00:00:00Z,16961985197,PASSED
2023-07-25T00:00:00Z,869847426090,PASSED
2023-07-25T00:00:00Z,321341695288,PASSED
2023-07-25T00:00:00Z,213464047438,PASSED
2023-07-25T00:00:00Z,338171952451,PASSED
2023-07-25T00:00:00Z,722899911467,PASSED
2023-07-25T00:00:00Z,235994838336,PASSED
2023-07-25T00:00:00Z,235843035201,PASSED
2023-07-25T00:00:00Z,907709894193,PASSED
2023-07-25T00:00:00Z,303174649770,PASSED
2023-07-25T00:00:00Z,162923607183,PASSED
2023-07-25T00:00:00Z,642337553045,PASSED
2023-07-25T00:00:00Z,343189583719,PASSED
2023-07-25T00:00:00Z,562634865744,PASSED
2023-07-25T00:00:00Z,850672053859,PASSED
2023-07-25T00:00:00Z,133206741697,REJECTED
2023-07-25T00:00:00Z,132116019792,PASSED
2023-07-25T00:00:00Z,711222588440,PASSED
2023-07-25T00:00:00Z,356192478242,PASSED
2023-07-25T00:00:00Z,783691737751,PASSED
2023-07-25T00:00:00Z,102567862634,PASSED
2023-07-25T00:00:00Z,23305325144,PASSED
2023-07-25T00:00:00Z,162804445314,PASSED
2023-07-25T00:00:00Z,842072382312,PASSED
2023-07-25T00:00:00Z,181940134686,PASSED
2023-07-25T00:00:00Z,324524581657,PASSED
2023-07-25T00:00:00Z,568956242445,PASSED
2023-07-25T00:00:00Z,216380720582,PASSED
2023-07-25T00:00:00Z,426077533498,REJECTED
2023-07-25T00:00:00Z,69355069913,PASSED
2023-07-25T00:00:00Z,320841731708,PASSED
2023-07-25T00:00:00Z,835959245580,PASSED
2023-07-25T00:00:00Z,509136295643,PASSED
2023-07-25T00:00:00Z,260503453179,PASSED
2023-07-25T00:00:00Z,748058538891,PASSED
2023-07-25T00:00:00Z,617996522709,PASSED
2023-07-25T00:00:00Z,478770608257,REJECTED
2023-07-25T00:00:00Z,458346777748,REJECTED
2023-07-25T00:00:00Z,853876116882,PASSED
2023-07-25T00:00:00Z,469368842069,PASSED
2023-07-25T00:00:00Z,601747462765,PASSED
2023-07-25T00:00:00Z,781929498524,PASSED
2023-07-25T00:00:00Z,910315082010,PASSED
2023-07-25T00:00:00Z,610561676892,PASSED
2023-07-25T00:00:00Z,551851404768,PASSED
2023-07-25T00:00:00Z,112609901549,PASSED
2023-07-25T00:00:00Z,113122034937,PASSED
2023-07-25T00:00:00Z,521139664756,PASSED
2023-07-25T00:00:00Z,24948570228,PASSED
2023-07-25T00:00:00Z,677265947855,PASSED
2023-07-25T00:00:00Z,762856946999,PASSED
2023-07-25T00:00:00Z,975179467238,REJECTED
2023-07-25T00:00:00Z,105337293721,REJECTED
2023-07-25T00:00:00Z,810041297351,PASSED
2023-07-25T00:00:00Z,255693073869,PASSED
2023-07-25T00:00:00Z,960275488334,PASSED
2023-07-25T00:00:00Z,353020131618,PASSED
2023-07-25T00:00:00Z,969932730486,PASSED
2023-07-25T00:00:00Z,891161684791,PASSED
2023-07-25T00:00:00Z,755172790447,PASSED
2023-07-25T00:00:00Z,633290285502,PASSED
2023-07-25T00:00:00Z,26089967025,PASSED
2023-07-25T00:00:00Z,133957708825,PASSED
2023-07-25T00:00:00Z,78777917355,PASSED
2023-07-25T00:00:00Z,168033021309,PASSED
2023-07-25T00:00:00Z,413519967090,PASSED
2023-07-25T00:00:00Z,503053825353,PASSED
2023-07-25T00:00:00Z,17243080432,PASSED
2023-07-25T00:00:00Z,152400472855,PASSED
2023-07-25T00:00:00Z,8957164896,PASSED
2023-07-25T00:00:00Z,703754839408,PASSED
2023-07-25T00:00:00Z,386014373649,REJECTED
2023-07-25T00:00:00Z,551026120138,PASSED
2023-07-25T00:00:00Z,479982455505,PASSED
2023-07-25T00:00:00Z,966955735778,PASSED
2023-07-25T00:00:00Z,290180563144,PASSED
2023-07-25T00:00:00Z,364702989626,PASSED
2023-07-25T00:00:00Z,420043046606,PASSED
2023-07-25T00:00:00Z,814750382476,PASSED
2023-07-25T00:00:00Z,909153387775,PASSED
2023-07-25T00:00:00Z,741457667961,PASSED
2023-07-25T00:00:00Z,797846360138,PASSED
2023-07-25T00:00:00Z,632670369619,PASSED
2023-07-25T00:00:00Z,950656978053,REJECTED
2023-07-25T00:00:00Z,795209389683,PASSED
2023-07-25T00:00:00Z,121671131724,PASSED
2023-07-25T00:00:00Z,496216324624,PASSED
2023-07-25T00:00:00Z,794197632414,PASSED
2023-07-25T00:00:00Z,890712123114,PASSED
2023-07-25T00:00:00Z,247459244215,PASSED
2023-07-25T00:00:00Z,672976851570,PASSED
2023-07-25T00:00:00Z,75632085231,PASSED
2023-07-25T00:00:00Z,455234830619,PASSED
2023-07-25T00:00:00Z,944121974488,PASSED
2023-07-25T00:00:00Z,101513239950,PASSED
2023-07-25T00:00:00Z,352146614620,REJECTED
2023-07-25T00:00:00Z,85443036092,PASSED
2023-07-25T00:00:00Z,170315079555,PASSED
2023-07-25T00:00:00Z,934320366903,PASSED
2023-07-25T00:00:00Z,530905176462,PASSED
2023-07-25T00:00:00Z,832202465532,PASSED
2023-07-25T00:00:00Z,514006978905,PASSED
2023-07-25T00:00:00Z,924557878448,PASSED
2023-07-25T00:00:00Z,944819934247,PASSED
2023-07-25T00:00:00Z,66533968430,PASSED
2023-07-25T00:00:00Z,399484859011,PASSED
2023-07-25T00:00:00Z,34877575420,PASSED
2023-07-25T00:00:00Z,315342857179,REJECTED
2023-07-25T00:00:00Z,256705838887,PASSED
2023-07-25T00:00:00Z,476013909072,PASSED
2023-07-25T00:00:00Z,151556674156,PASSED
2023-07-25T00:00:00Z,354872362331,PASSED
2023-07-25T00:00:00Z,319458135471,PASSED
2023-07-25T00:00:00Z,68184751764,PASSED
2023-07-25T00:00:00Z,198278669152,PASSED
2023-07-25T00:00:00Z,430314369785,PASSED
2023-07-25T00:00:00Z,947611159131,PASSED
2023-07-25T00:00:00Z,690055276793,PASSED
2023-07-25T00:00:00Z,261286756074,PASSED
2023-07-25T00:00:00Z,534532220468,PASSED
2023-07-25T00:00:00Z,461818200499,PASSED
2023-07-25T00:00:00Z,403512434032,PASSED
2023-07-25T00:00:00Z,561267554359,PASSED
2023-07-25T00:00:00Z,793865687922,PASSED
2023-07-25T00:00:00Z,285980102532,PASSED
2023-07-25T00:00:00Z,235850658179,PASSED
2023-07-25T00:00:00Z,237205452514,PASSED
2023-07-25T00:00:00Z,877593964774,PASSED
2023-07-25T00:00:00Z,103847651436,PASSED
2023-07-25T00:00:00Z,962383319324,PASSED
2023-07-25T00:00:00Z,943581075862,PASSED
2023-07-25T00:00:00Z,969163555388,PASSED
2023-07-25T00:00:00Z,118594864421,PASSED
2023-07-25T00:00:00Z,306974456578,PASSED
2023-07-25T00:00:00Z,204669745264,PASSED
2023-07-25T00:00:00Z,409196597036,PASSED
2023-07-25T00:00:00Z,607654747992,PASSED
2023-07-25T00:00:00Z,16697700788,PASSED
2023-07-25T00:00:00Z,318329010153,PASSED
2023-07-25T00:00:00Z,726740974928,PASSED
2023-07-25T00:00:00Z,141866387991,PASSED
2023-07-25T00:00:00Z,326400290180,PASSED
2023-07-25T00:00:00Z,356546880277,PASSED
2023-07-25T00:00:00Z,537918843900,PASSED
